campaign,batch,hourly_timestamp,code,tbl_speed,fom,main_comp,tbl_fill,SREL,pre_comp,produced,waste,cyl_main,cyl_pre,stiffness,ejection
4,26,2018-11-22 23:00:00,1.0,0.0,0.0,0.2,4.09,0.0,0.0,0.0,0.0,1.06,4.0,3.0,90.0
4,26,2018-11-22 23:10:00,1.0,9.361666666666668,2.283333333333333,1.1183333333333334,4.09,6.614999999999999,0.0016666666666666668,0.0,206.66666666666666,1.06,4.0,3.1166666666666667,108.3
4,26,2018-11-22 23:20:00,1.0,21.53166666666667,6.966666666666667,5.806666666666667,4.789333333333333,5.781666666666666,0.0,0.0,3004.016666666667,1.3659999999999999,4.752,3.9166666666666665,200.06666666666666
4,26,2018-11-22 23:30:00,1.0,5.0,2.5,5.316666666666666,5.4,3.475,0.0,0.0,5947.083333333333,1.7683333333333333,4.96,4.0,201.4
4,26,2018-11-22 23:40:00,1.0,0.0,0.0,5.0,5.4,3.6,0.0,0.0,6514.0,1.8,4.96,4.0,191.0
4,26,2018-11-22 23:50:00,1.0,0.0,0.0,5.0,5.4,3.6,0.0,0.0,6514.0,1.8,4.96,4.0,191.0
4,26,2018-11-23 00:00:00,1.0,14.893333333333334,7.5,4.991666666666666,5.3950000000000005,3.58,0.0016666666666666668,0.1,6522.95,1.8,5.0,4.05,189.08333333333334
4,26,2018-11-23 00:10:00,1.0,65.265,33.333333333333336,4.928333333333333,5.407666666666667,3.5533333333333332,0.0033333333333333335,6.183333333333334,6598.9,1.8,5.0,4.066666666666666,186.9
4,26,2018-11-23 00:20:00,1.0,100.0,50.0,4.95,5.4,3.68,0.0,21.216666666666665,6619.833333333333,1.8,5.0,4.283333333333333,182.73333333333332
4,26,2018-11-23 00:30:00,1.0,100.0,50.0,4.965000000000001,5.4,3.728333333333333,0.0033333333333333335,38.05,6628.25,1.8,5.0,4.333333333333333,183.11666666666667
4,26,2018-11-23 00:40:00,1.0,100.0,50.0,4.943333333333333,5.400333333333334,3.6,0.005000000000000001,54.86666666666667,6635.166666666667,1.8,5.0,4.166666666666667,180.71666666666667
4,26,2018-11-23 00:50:00,1.0,100.0,50.0,4.953333333333333,5.404333333333333,3.5833333333333335,0.005000000000000001,71.7,6637.466666666666,1.8,5.0,4.1,179.45
4,26,2018-11-23 01:00:00,1.0,100.0,50.0,4.9366666666666665,5.404,3.665,0.0033333333333333335,88.51666666666667,6642.283333333334,1.8,5.0,4.233333333333333,178.95
4,26,2018-11-23 01:10:00,1.0,100.0,50.0,4.928333333333333,5.401666666666667,3.6333333333333333,0.0016666666666666668,105.31666666666666,6645.65,1.8,5.0,4.116666666666666,180.53333333333333
4,26,2018-11-23 01:20:00,1.0,100.0,50.0,4.965000000000001,5.400333333333334,3.6483333333333334,0.005000000000000001,122.15,6648.783333333334,1.8,5.0,4.3,178.53333333333333
4,26,2018-11-23 01:30:00,1.0,100.0,50.0,4.956666666666667,5.3966666666666665,3.6383333333333336,0.0016666666666666668,138.98333333333332,6654.85,1.8,5.0,4.35,173.41666666666666
4,26,2018-11-23 01:40:00,1.0,100.0,50.0,4.956666666666667,5.397666666666667,3.5266666666666664,0.005000000000000001,155.8,6658.383333333333,1.8,5.0,4.183333333333334,170.68333333333334
4,26,2018-11-23 01:50:00,1.0,100.0,50.0,4.953333333333333,5.400333333333334,3.5016666666666665,0.0016666666666666668,172.63333333333333,6659.0,1.8,5.0,4.15,164.63333333333333
4,26,2018-11-23 02:00:00,1.0,100.0,50.0,4.958333333333333,5.391000000000001,3.533333333333333,0.0,189.45,6659.75,1.8,5.0,4.216666666666667,162.51666666666668
4,26,2018-11-23 02:10:00,1.0,100.0,50.0,4.943333333333333,5.382333333333333,3.591666666666667,0.0016666666666666668,206.26666666666668,6660.0,1.8,5.0,4.2,166.73333333333332
4,26,2018-11-23 02:20:00,1.0,65.0,32.5,4.916666666666667,5.847333333333334,4.613333333333333,0.0016666666666666668,222.18333333333334,6703.05,1.8,5.0,5.15,170.23333333333332
4,26,2018-11-23 02:30:00,1.0,0.0,0.0,4.9,6.2,5.2,0.0,226.0,6740.0,1.8,5.0,6.0,179.0
4,27,2018-11-23 02:30:00,1.0,0.0,0.0,4.9,6.193846153846153,0.0,0.0,0.0,0.0,1.8000000000000003,5.0,6.0,179.0
4,27,2018-11-23 02:40:00,1.0,20.0,10.3,4.933333333333334,5.236666666666666,3.5933333333333333,0.0,0.0,1826.8333333333333,1.8083333333333333,5.0,4.216666666666667,166.8
4,27,2018-11-23 02:50:00,1.0,0.0,0.0,5.5,5.3,3.5,0.0,0.0,3604.0,1.72,5.0,4.0,182.0
4,27,2018-11-23 03:00:00,1.0,0.0,0.0,5.5,5.3,3.5,0.0,0.0,3604.0,1.72,5.0,4.0,182.0
4,27,2018-11-23 03:10:00,1.0,90.0,45.0,5.456666666666667,5.3228333333333335,3.5883333333333334,0.0,6.316666666666666,3640.0,1.72,5.0,4.65,184.93333333333334
4,27,2018-11-23 03:20:00,1.0,100.0,50.0,5.461666666666667,5.351,3.65,0.0,23.016666666666666,3648.05,1.72,5.0,4.35,184.05
4,27,2018-11-23 03:30:00,1.0,100.0,50.0,5.461666666666667,5.355,3.7016666666666667,0.0,39.85,3651.95,1.72,5.0,4.216666666666667,181.83333333333334
4,27,2018-11-23 03:40:00,1.0,100.0,50.0,5.468333333333334,5.357333333333333,3.7150000000000003,0.0,56.666666666666664,3659.75,1.72,5.0,4.116666666666666,182.38333333333333
