,campaign,batch,hourly_timestamp,tbl_speed,fom,main_comp,tbl_fill,srel,pre_comp,produced,waste,cyl_main,stiffness,ejection
0,4,26,2018-11-22 23:00:00,-2,-1.1789005865038522,0.2,4.09,0.0,0.0,-1,-2,1.06,3.0,-0.0930869107828836
1,4,26,2018-11-22 23:10:00,-2,-1.0826735682164264,1.1183333333333334,4.09,6.614999999999999,0.0016666666666666,-1,-1,1.06,3.1166666666666667,0.1611372625466903
2,4,26,2018-11-22 23:20:00,-1,-0.8853028226779833,5.806666666666667,4.789333333333333,5.781666666666666,0.0,-1,0,1.366,3.9166666666666665,1.4359626708824222
3,4,26,2018-11-22 23:30:00,-2,-1.0735425372840428,5.316666666666666,5.4,3.475,0.0,-1,2,1.768333333333333,4.0,1.454485379321736
4,4,26,2018-11-22 23:40:00,-2,-1.1789005865038522,5.0,5.4,3.6,0.0,-1,2,1.8,4.0,1.3100082534950928
5,4,26,2018-11-22 23:50:00,-2,-1.1789005865038522,5.0,5.4,3.6,0.0,-1,2,1.8,4.0,1.3100082534950928
6,4,26,2018-11-23 00:00:00,-1,-0.8628264388444241,4.991666666666666,5.3950000000000005,3.58,0.0016666666666666,-1,2,1.8,4.05,1.2833818601135798
7,4,26,2018-11-23 00:10:00,0,0.2258734030936057,4.928333333333333,5.407666666666667,3.553333333333333,0.0033333333333333,-1,2,1.8,4.066666666666666,1.2530509250442048
8,4,26,2018-11-23 00:20:00,1,0.9282603978923344,4.95,5.4,3.68,0.0,-1,2,1.8,4.283333333333333,1.1951674611713503
9,4,26,2018-11-23 00:30:00,1,0.9282603978923344,4.965000000000001,5.4,3.728333333333333,0.0033333333333333,-1,2,1.8,4.333333333333333,1.2004927398476537
10,4,26,2018-11-23 00:40:00,1,0.9282603978923344,4.943333333333333,5.400333333333334,3.6,0.005,-1,2,1.8,4.166666666666667,1.1671518646568897
11,4,26,2018-11-23 00:50:00,1,0.9282603978923344,4.953333333333333,5.404333333333333,3.583333333333333,0.005,0,2,1.8,4.1,1.149555291639542
12,4,26,2018-11-23 01:00:00,1,0.9282603978923344,4.9366666666666665,5.404,3.665,0.0033333333333333,0,2,1.8,4.233333333333333,1.1426092759747994
13,4,26,2018-11-23 01:10:00,1,0.9282603978923344,4.928333333333333,5.401666666666667,3.633333333333333,0.0016666666666666,0,2,1.8,4.116666666666666,1.164604992246484
14,4,26,2018-11-23 01:20:00,1,0.9282603978923344,4.965000000000001,5.400333333333334,3.648333333333333,0.005,0,2,1.8,4.3,1.1368209295875142
15,4,26,2018-11-23 01:30:00,1,0.9282603978923344,4.956666666666667,5.3966666666666665,3.6383333333333336,0.0016666666666666,1,2,1.8,4.35,1.0657400359516496
16,4,26,2018-11-23 01:40:00,1,0.9282603978923344,4.956666666666667,5.397666666666667,3.5266666666666664,0.005,1,2,1.8,4.183333333333334,1.0277684836510577
17,4,26,2018-11-23 01:50:00,1,0.9282603978923344,4.953333333333333,5.400333333333334,3.5016666666666665,0.0016666666666666,1,2,1.8,4.15,0.9437216941076738
18,4,26,2018-11-23 02:00:00,1,0.9282603978923344,4.958333333333333,5.391000000000001,3.533333333333333,0.0,1,2,1.8,4.216666666666667,0.9143168944602644
19,4,26,2018-11-23 02:10:00,1,0.9282603978923344,4.943333333333333,5.382333333333333,3.591666666666667,0.0016666666666666,1,2,1.8,4.2,0.972894959899592
20,4,26,2018-11-23 02:20:00,0,0.1907540533536691,4.916666666666667,5.847333333333334,4.613333333333333,0.0016666666666666,2,2,1.8,5.15,1.021517069552789
21,4,26,2018-11-23 02:30:00,-2,-1.1789005865038522,4.9,6.2,5.2,0.0,2,2,1.8,6.0,1.1433038775412738
22,4,27,2018-11-23 02:30:00,-2,-1.1789005865038522,4.9,6.193846153846153,0.0,0.0,-1,-2,1.8000000000000005,6.0,1.1433038775412738
23,4,27,2018-11-23 02:40:00,-1,-0.7448254237182377,4.933333333333334,5.236666666666666,3.5933333333333333,0.0,-1,0,1.808333333333333,4.216666666666667,0.973821095321558
24,4,27,2018-11-23 02:50:00,-2,-1.1789005865038522,5.5,5.3,3.5,0.0,-1,1,1.72,4.0,1.184979971529729
25,4,27,2018-11-23 03:00:00,-2,-1.1789005865038522,5.5,5.3,3.5,0.0,-1,1,1.72,4.0,1.184979971529729
26,4,27,2018-11-23 03:10:00,0,0.7175442994527158,5.456666666666667,5.3228333333333335,3.5883333333333334,0.0,-1,1,1.72,4.65,1.2257299300962174
27,4,27,2018-11-23 03:20:00,1,0.9282603978923344,5.461666666666667,5.351,3.65,0.0,-1,1,1.72,4.35,1.2134586357551729
28,4,27,2018-11-23 03:30:00,1,0.9282603978923344,5.461666666666667,5.355,3.701666666666666,0.0,-1,1,1.72,4.216666666666667,1.1826646329748145
29,4,27,2018-11-23 03:40:00,1,0.9282603978923344,5.468333333333334,5.357333333333333,3.715,0.0,0,1,1.72,4.116666666666666,1.190305250206031
30,4,27,2018-11-23 03:50:00,1,0.9282603978923344,5.456666666666667,5.362666666666667,3.715,0.0,0,1,1.72,4.533333333333333,1.1759501511655632
31,4,27,2018-11-23 04:00:00,1,0.9282603978923344,5.45,5.361000000000001,3.72,0.0,0,1,1.72,4.35,1.1463138176626624
32,4,27,2018-11-23 04:10:00,1,0.9282603978923344,5.465,5.362666666666667,3.75,0.0,0,1,1.72,4.383333333333334,1.1391362681424282
33,4,27,2018-11-23 04:20:00,1,0.9282603978923344,5.46,5.359666666666668,3.621666666666667,0.0,0,1,1.72,4.283333333333333,1.1565013073042845
