campaign,batch,hourly_timestamp,code,tbl_speed,fom,main_comp,tbl_fill,SREL,pre_comp,produced,waste,cyl_main,cyl_pre,stiffness,ejection
15,62,2018-12-06 13:10:00,12.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,1.22,5.0,0.0,0.0
15,62,2018-12-06 13:20:00,12.0,18.561666666666667,5.283333333333333,2.79,3.8194999999999997,16.584999999999997,0.0,0.0,1592.4166666666667,1.1973333333333334,5.0,44.56666666666667,87.35
15,62,2018-12-06 13:30:00,12.0,25.895,6.933333333333334,6.955,3.962,3.14,0.0,0.0,6272.083333333333,0.8518333333333333,5.0,54.38333333333333,131.18333333333334
15,62,2018-12-06 13:40:00,12.0,20.71333333333333,5.5,7.905,3.9463333333333335,2.1,0.04000000000000001,0.0,9946.133333333333,0.7768333333333334,5.0,55.0,158.08333333333334
15,62,2018-12-06 13:50:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 14:00:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 14:10:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 14:20:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 14:30:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 14:40:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 14:50:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 15:00:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 15:10:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 15:20:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 15:30:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 15:40:00,12.0,0.0,0.0,8.2,4.0,3.0,0.0,0.0,11794.0,0.77,5.0,53.0,151.0
15,62,2018-12-06 15:50:00,12.0,6.42,2.0,8.156666666666666,4.015666666666666,3.0349999999999997,0.021666666666666667,0.2,11809.95,0.77,5.0,52.88333333333333,149.98333333333332
15,62,2018-12-06 16:00:00,12.0,0.0,0.0,8.1,4.06,3.5,0.1,1.0,11853.0,0.77,5.0,53.0,149.0
15,62,2018-12-06 16:10:00,12.0,0.0,0.0,8.1,4.06,3.5,0.1,1.0,11853.0,0.77,5.0,53.0,149.0
15,62,2018-12-06 16:20:00,12.0,0.0,0.0,8.1,4.06,3.5,0.1,1.0,11853.0,0.77,5.0,53.0,149.0
