,campaign,batch,hourly_timestamp,tbl_speed,fom,main_comp,tbl_fill,SREL,pre_comp,produced,waste,cyl_main,stiffness,ejection
0,4,26,2018-11-22 23:00:00,-1.8004664118386813,-1.1789005865038522,0.2,4.09,0.0,0.0,-1.1818145549393968,-1.6069574400570936,1.06,3.0,-0.0930869107828836
1,4,26,2018-11-22 23:10:00,-1.5702053438021044,-1.0826735682164264,1.1183333333333334,4.09,6.614999999999999,0.0016666666666666,-1.1818145549393968,-1.4813355806041293,1.06,3.1166666666666667,0.1611372625466903
2,4,26,2018-11-22 23:20:00,-1.270870054714854,-0.8853028226779833,5.806666666666667,4.789333333333333,5.781666666666666,0.0,-1.1818145549393968,0.21902720265756292,1.366,3.9166666666666665,1.4359626708824222
3,4,26,2018-11-22 23:30:00,-1.6774856028463845,-1.0735425372840428,5.316666666666666,5.4,3.475,0.0,-1.1818145549393968,2.0079635276287116,1.768333333333333,4.0,1.454485379321736
4,4,26,2018-11-22 23:40:00,-1.8004664118386813,-1.1789005865038522,5.0,5.4,3.6,0.0,-1.1818145549393968,2.3525625235394036,1.8,4.0,1.3100082534950928
5,4,26,2018-11-22 23:50:00,-1.8004664118386813,-1.1789005865038522,5.0,5.4,3.6,0.0,-1.1818145549393968,2.3525625235394036,1.8,4.0,1.3100082534950928
6,4,26,2018-11-23 00:00:00,-1.4341475754536266,-0.8628264388444241,4.991666666666666,5.3950000000000005,3.58,0.0016666666666666,-1.1805816476088162,2.3580027605173264,1.8,4.05,1.2833818601135798
7,4,26,2018-11-23 00:10:00,-0.19519791206223122,0.2258734030936057,4.928333333333333,5.407666666666667,3.553333333333333,0.0033333333333333,-1.1055797849984972,2.404168793866291,1.8,4.066666666666666,1.2530509250442048
8,4,26,2018-11-23 00:20:00,0.6591497680072547,0.9282603978923345,4.95,5.4,3.68,0.0,-0.9202327163012157,2.416893072533462,1.8,4.283333333333333,1.1951674611713503
9,4,26,2018-11-23 00:30:00,0.6591497680072547,0.9282603978923345,4.965000000000001,5.4,3.728333333333333,0.0033333333333333,-0.7126933156534838,2.4220091240676354,1.8,4.333333333333333,1.2004927398476535
10,4,26,2018-11-23 00:40:00,0.6591497680072547,0.9282603978923345,4.943333333333333,5.400333333333334,3.6,0.005,-0.5053593995608486,2.426213404041263,1.8,4.166666666666667,1.1671518646568897
11,4,26,2018-11-23 00:50:00,0.6591497680072547,0.9282603978923345,4.953333333333333,5.404333333333333,3.583333333333333,0.005,-0.2978199989131166,2.4276114537674327,1.8,4.1,1.149555291639542
12,4,26,2018-11-23 01:00:00,0.6591497680072547,0.9282603978923345,4.9366666666666665,5.404,3.665,0.0033333333333333,-0.09048608282048147,2.4305392535562964,1.8,4.233333333333333,1.1426092759747994
13,4,26,2018-11-23 01:10:00,0.6591497680072547,0.9282603978923345,4.928333333333333,5.401666666666667,3.633333333333333,0.0016666666666666,0.11664234871705692,2.432585674169965,1.8,4.116666666666666,1.164604992246484
14,4,26,2018-11-23 01:20:00,0.6591497680072547,0.9282603978923345,4.965000000000001,5.400333333333334,3.648333333333333,0.005,0.324181749364789,2.4344902636519947,1.8,4.3,1.1368209295875142
15,4,26,2018-11-23 01:30:00,0.6591497680072547,0.9282603978923345,4.956666666666667,5.3966666666666665,3.6383333333333336,0.0016666666666666,0.5317211500125207,2.438177873074646,1.8,4.35,1.0657400359516496
16,4,26,2018-11-23 01:40:00,0.6591497680072547,0.9282603978923345,4.956666666666667,5.397666666666667,3.5266666666666664,0.005,0.7390550661051561,2.4403256016394868,1.8,4.183333333333334,1.0277684836510577
17,4,26,2018-11-23 01:50:00,0.6591497680072547,0.9282603978923345,4.953333333333333,5.400333333333334,3.5016666666666665,0.0016666666666666,0.9465944667528879,2.4407004410588224,1.8,4.15,0.9437216941076738
18,4,26,2018-11-23 02:00:00,0.6591497680072547,0.9282603978923345,4.958333333333333,5.391000000000001,3.533333333333333,0.0,1.1539283828455231,2.4411563268390952,1.8,4.216666666666667,0.9143168944602643
19,4,26,2018-11-23 02:10:00,0.6591497680072547,0.9282603978923345,4.943333333333333,5.382333333333333,3.591666666666667,0.0016666666666666,1.3612622989381586,2.441308288765853,1.8,4.2,0.9728949598995921
20,4,26,2018-11-23 02:20:00,-0.20171589493882297,0.19075405335366918,4.916666666666667,5.847333333333334,4.613333333333333,0.0016666666666666,1.557500049055568,2.467476132553515,1.8,5.15,1.0215170695527893
21,4,26,2018-11-23 02:30:00,-1.8004664118386813,-1.1789005865038522,4.9,6.2,5.2,0.0,1.6045560121727274,2.4899361053282907,1.8,6.0,1.1433038775412738
22,4,27,2018-11-23 02:30:00,-1.8004664118386813,-1.1789005865038522,4.9,6.193846153846153,0.0,0.0,-1.1818145549393968,-1.6069574400570936,1.8000000000000005,6.0,1.1433038775412738
23,4,27,2018-11-23 02:40:00,-1.308543175869494,-0.7448254237182377,4.933333333333334,5.236666666666666,3.5933333333333333,0.0,-1.1818145549393968,-0.49652098726359223,1.8083333333333331,4.216666666666667,0.973821095321558
24,4,27,2018-11-23 02:50:00,-1.8004664118386813,-1.1789005865038522,5.5,5.3,3.5,0.0,-1.1818145549393968,0.5837256960807291,1.72,4.0,1.1849799715297287
25,4,27,2018-11-23 03:00:00,-1.8004664118386813,-1.1789005865038522,5.5,5.3,3.5,0.0,-1.1818145549393968,0.5837256960807291,1.72,4.0,1.1849799715297287
26,4,27,2018-11-23 03:10:00,0.413188150022661,0.7175442994527158,5.456666666666667,5.3228333333333335,3.5883333333333334,0.0,-1.1039359085577232,0.6056082135338261,1.72,4.65,1.2257299300962174
